         1248401 function calls (1153009 primitive calls) in 14.355 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.008    0.008 descriptor.py:33(<module>)
        1    0.000    0.000    0.008    0.008 specifiers.py:4(<module>)
     5134    0.007    0.000    0.008    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.000    0.000    0.008    0.008 py3k.py:4(<module>)
        1    0.000    0.000    0.008    0.008 parsing_ops.py:16(<module>)
        1    0.000    0.000    0.008    0.008 nn_impl.py:15(<module>)
     5279    0.008    0.000    0.008    0.000 {built-in method __new__ of type object at 0x00007FFB891959A0}
      308    0.001    0.000    0.008    0.000 <__array_function__ internals>:2(expand_dims)
        1    0.000    0.000    0.008    0.008 ragged_dispatch.py:555(ragged_op_list)
        1    0.000    0.000    0.008    0.008 _policybase.py:4(<module>)
        1    0.000    0.000    0.008    0.008 context.py:1(<module>)
       33    0.000    0.000    0.008    0.000 __init__.py:3277(<genexpr>)
        1    0.000    0.000    0.008    0.008 summary_ops_v2.py:16(<module>)
     2021    0.004    0.000    0.008    0.000 <frozen importlib._bootstrap>:318(__exit__)
       32    0.000    0.000    0.008    0.000 __init__.py:2776(activate)
       58    0.000    0.000    0.008    0.000 deprecation.py:426(deprecated_wrapper)
      357    0.000    0.000    0.008    0.000 abc.py:125(__new__)
        1    0.000    0.000    0.008    0.008 gen_tpu_ops.py:4(<module>)
        1    0.000    0.000    0.008    0.008 gen_experimental_dataset_ops.py:4(<module>)
     6190    0.004    0.000    0.008    0.000 {built-in method builtins.any}
    66013    0.008    0.000    0.008    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.008    0.008 gen_training_ops.py:4(<module>)
81245/79820    0.007    0.000    0.008    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.008    0.008 pyparsing.py:5399(pyparsing_common)
        2    0.000    0.000    0.008    0.004 dtypes.py:15(<module>)
        1    0.000    0.000    0.008    0.008 __init__.py:22(<module>)
    14487    0.003    0.000    0.008    0.000 sre_parse.py:254(get)
        1    0.000    0.000    0.008    0.008 distribute_coordinator.py:15(<module>)
        1    0.000    0.000    0.007    0.007 deprecation.py:16(<module>)
        1    0.000    0.000    0.007    0.007 saver.py:21(<module>)
