         1441894 function calls (1343749 primitive calls) in 26.781 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      255    0.001    0.000    0.015    0.000 deprecation.py:308(deprecated_wrapper)
      681    0.012    0.000    0.014    0.000 sre_compile.py:276(_optimize_charset)
     2388    0.003    0.000    0.014    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     1225    0.009    0.000    0.014    0.000 op_def_library.py:235(__init__)
        1    0.000    0.000    0.014    0.014 _datasource.py:35(<module>)
        1    0.001    0.001    0.014    0.014 gen_math_ops.py:4(<module>)
     6786    0.007    0.000    0.014    0.000 tf_decorator.py:200(unwrap)
      222    0.014    0.000    0.014    0.000 {built-in method io.open}
        1    0.000    0.000    0.014    0.014 load_library.py:38(load_op_library)
        1    0.000    0.000    0.014    0.014 feature_column_lib.py:15(<module>)
        1    0.000    0.000    0.014    0.014 adjoint_registrations.py:15(<module>)
        2    0.000    0.000    0.014    0.007 gradients.py:15(<module>)
        1    0.000    0.000    0.014    0.014 group.py:12(<module>)
     2199    0.004    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
        1    0.000    0.000    0.014    0.014 Image.py:30(<module>)
        1    0.000    0.000    0.014    0.014 ragged_array_ops.py:15(<module>)
        6    0.000    0.000    0.013    0.002 __init__.py:10(<module>)
        1    0.000    0.000    0.013    0.013 mbcsgroupprober.py:30(<module>)
        1    0.000    0.000    0.013    0.013 shutil.py:5(<module>)
        1    0.000    0.000    0.013    0.013 index_tricks.py:1(<module>)
        1    0.000    0.000    0.013    0.013 tracking.py:1(<module>)
        1    0.000    0.000    0.013    0.013 gradients_impl.py:15(<module>)
        2    0.001    0.000    0.013    0.006 meta_graph_pb2.py:5(<module>)
        1    0.000    0.000    0.013    0.013 multiarray.py:7(<module>)
        1    0.000    0.000    0.013    0.013 variable_scope.py:15(<module>)
       26    0.000    0.000    0.013    0.000 pyparsing.py:2779(__init__)
        1    0.001    0.001    0.013    0.013 gen_array_ops.py:4(<module>)
      316    0.001    0.000    0.013    0.000 decorator_utils.py:76(add_notice_to_docstring)
    28910    0.012    0.000    0.012    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.012    0.012 csr.py:1(<module>)
     2599    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.012    0.012 client.py:69(<module>)
     3886    0.010    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
        1    0.000    0.000    0.012    0.012 cfg.py:23(<module>)
        1    0.000    0.000    0.012    0.012 overrides.py:1(<module>)
        1    0.000    0.000    0.012    0.012 gen_data_flow_ops.py:4(<module>)
        7    0.000    0.000    0.012    0.002 metadata.py:15(<module>)
        1    0.000    0.000    0.012    0.012 __init__.py:119(<module>)
      164    0.000    0.000    0.012    0.000 utils.py:46(register_decorator)
        1    0.000    0.000    0.012    0.012 function.py:16(<module>)
        1    0.000    0.000    0.011    0.011 dense_features_v2.py:15(<module>)
        1    0.000    0.000    0.011    0.011 summary.py:25(<module>)
        1    0.000    0.000    0.011    0.011 init_ops.py:31(<module>)
        1    0.000    0.000    0.011    0.011 compiler.py:18(<module>)
        1    0.000    0.000    0.011    0.011 api.py:19(<module>)
      165    0.001    0.000    0.011    0.000 utils.py:97(verify_interface)
    83643    0.011    0.000    0.011    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.011    0.011 data_utils.py:16(<module>)
     1188    0.001    0.000    0.011    0.000 version.py:74(__init__)
        1    0.000    0.000    0.011    0.011 numeric.py:1(<module>)
     4879    0.010    0.000    0.011    0.000 <frozen importlib._bootstrap>:78(acquire)
        1    0.000    0.000    0.011    0.011 _internal_utils.py:9(<module>)
      226    0.006    0.000    0.011    0.000 decorator_utils.py:35(_normalize_docstring)
        1    0.000    0.000    0.011    0.011 dense_features.py:15(<module>)
        1    0.010    0.010    0.010    0.010 {built-in method _pywrap_tensorflow_internal.TF_LoadLibrary}
        1    0.000    0.000    0.010    0.010 saver.py:21(<module>)
        2    0.000    0.000    0.010    0.005 base.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _defines.py:19(<module>)
      255    0.001    0.000    0.010    0.000 deprecation.py:46(_add_deprecated_function_notice_to_docstring)
        4    0.000    0.000    0.010    0.003 utils.py:5(<module>)
     1188    0.003    0.000    0.010    0.000 version.py:131(_legacy_cmpkey)
        1    0.000    0.000    0.010    0.010 compat.py:9(<module>)
        1    0.000    0.000    0.010    0.010 deprecation.py:16(<module>)
     2047    0.006    0.000    0.010    0.000 inspect.py:2750(__init__)
        2    0.000    0.000    0.010    0.005 adadelta.py:16(<module>)
       91    0.000    0.000    0.010    0.000 descriptor.py:870(__new__)
        1    0.000    0.000    0.010    0.010 distribute_coordinator.py:15(<module>)
     9191    0.005    0.000    0.010    0.000 enum.py:284(__call__)
       91    0.010    0.000    0.010    0.000 {method 'AddSerializedFile' of 'google.protobuf.pyext._message.DescriptorPool' objects}
     1341    0.004    0.000    0.010    0.000 ntpath.py:75(join)
     1235    0.005    0.000    0.010    0.000 ntpath.py:178(split)
        1    0.000    0.000    0.010    0.010 tpu_ops.py:16(<module>)
        1    0.000    0.000    0.010    0.010 profiler.py:16(<module>)
     4535    0.007    0.000    0.010    0.000 ntpath.py:122(splitdrive)
      566    0.000    0.000    0.010    0.000 __init__.py:1406(_get_metadata_path)
        1    0.000    0.000    0.009    0.009 data_structures.py:1(<module>)
        1    0.000    0.000    0.009    0.009 nn_impl.py:15(<module>)
        1    0.000    0.000    0.009    0.009 descriptor.py:33(<module>)
        1    0.000    0.000    0.009    0.009 misc.py:1(<module>)
        2    0.000    0.000    0.009    0.005 _distributor_init.py:10(<module>)
      566    0.001    0.000    0.009    0.000 __init__.py:1486(_fn)
        1    0.000    0.000    0.009    0.009 feature_column_v2.py:124(<module>)
     5228    0.009    0.000    0.009    0.000 {built-in method _thread.allocate_lock}
26089/26017    0.008    0.000    0.009    0.000 {method 'join' of 'str' objects}
     2039    0.005    0.000    0.009    0.000 <frozen importlib._bootstrap>:318(__exit__)
        2    0.000    0.000    0.009    0.005 convert.py:15(<module>)
        1    0.000    0.000    0.009    0.009 training_ops.py:16(<module>)
      413    0.001    0.000    0.009    0.000 abc.py:125(__new__)
     5972    0.009    0.000    0.009    0.000 {built-in method __new__ of type object at 0x00007FFBA52979A0}
        1    0.000    0.000    0.009    0.009 summary_ops_v2.py:16(<module>)
    16654    0.004    0.000    0.009    0.000 sre_parse.py:254(get)
        4    0.000    0.000    0.009    0.002 __init__.py:57(<module>)
     2199    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     4879    0.008    0.000    0.009    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.000    0.000    0.009    0.009 monitored_session.py:16(<module>)
        1    0.000    0.000    0.009    0.009 utils.py:4(<module>)
     7736    0.004    0.000    0.009    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.008    0.008 ragged_dispatch.py:555(ragged_op_list)
       58    0.000    0.000    0.008    0.000 deprecation.py:426(deprecated_wrapper)
        1    0.000    0.000    0.008    0.008 specifiers.py:4(<module>)
        2    0.000    0.000    0.008    0.004 dtypes.py:15(<module>)
        1    0.000    0.000    0.008    0.008 bz2.py:5(<module>)
        1    0.000    0.000    0.008    0.008 gen_dataset_ops.py:4(<module>)
    50504    0.008    0.000    0.008    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.008    0.008 signal.py:35(<module>)
        1    0.000    0.000    0.008    0.008 gen_experimental_dataset_ops.py:4(<module>)
     1943    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
        1    0.000    0.000    0.008    0.008 pythoncom.py:2(<module>)
        1    0.000    0.000    0.008    0.008 mirrored_strategy.py:15(<module>)
        1    0.000    0.000    0.008    0.008 gen_tpu_ops.py:4(<module>)
        1    0.000    0.000    0.008    0.008 parsing_ops.py:16(<module>)
        1    0.000    0.000    0.008    0.008 pyparsing.py:5399(pyparsing_common)
      190    0.001    0.000    0.008    0.000 sre_compile.py:536(_compile_info)
     1936    0.002    0.000    0.008    0.000 tf_stack.py:139(extract_stack)
     2491    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:151(__exit__)
        1    0.000    0.000    0.008    0.008 ragged_dispatch.py:496(register_dispatchers)
        1    0.000    0.000    0.008    0.008 anno.py:18(<module>)
        1    0.000    0.000    0.008    0.008 gen_training_ops.py:4(<module>)
        1    0.000    0.000    0.008    0.008 dataset.py:12(<module>)
        3    0.000    0.000    0.008    0.003 _util.py:1(<module>)
        1    0.000    0.000    0.008    0.008 special_math_ops.py:18(<module>)
      596    0.003    0.000    0.008    0.000 registry.py:44(register)
       61    0.000    0.000    0.007    0.000 {h5py._objects.with_phil}
        1    0.000    0.000    0.007    0.007 ragged_functional_ops.py:15(<module>)
