         3736770 function calls (3535359 primitive calls) in 18.023 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.064    0.064 structure.py:15(<module>)
       74    0.001    0.000    0.064    0.001 gen_array_ops.py:6625(placeholder)
   219672    0.045    0.000    0.063    0.000 {built-in method builtins.isinstance}
       74    0.001    0.000    0.063    0.001 format.py:520(_read_array_header)
       93    0.000    0.000    0.061    0.001 dispatch.py:177(wrapper)
       75    0.061    0.001    0.061    0.001 {built-in method numpy.fromfile}
       97    0.000    0.000    0.061    0.001 math_ops.py:896(binary_op_wrapper)
        1    0.000    0.000    0.059    0.059 network.py:1141(save_weights)
        1    0.000    0.000    0.057    0.057 data_utils.py:1(<module>)
        1    0.005    0.005    0.057    0.057 saving.py:696(save_weights_to_hdf5_group)
      204    0.000    0.000    0.056    0.000 __init__.py:2982(_reload_version)
      204    0.000    0.000    0.056    0.000 __init__.py:2770(_get_version)
      204    0.000    0.000    0.055    0.000 __init__.py:2548(_version_from_file)
      935    0.055    0.000    0.055    0.000 {built-in method _pywrap_tensorflow_internal.TF_FinishOperation}
       74    0.002    0.000    0.055    0.001 format.py:479(_filter_header)
        3    0.000    0.000    0.054    0.018 base.py:5(<module>)
        1    0.000    0.000    0.053    0.053 pywrap_tensorflow_internal.py:11(<module>)
    20226    0.014    0.000    0.053    0.000 contextlib.py:237(helper)
        3    0.000    0.000    0.053    0.018 __init__.py:3(<module>)
        1    0.000    0.000    0.052    0.052 vis_utils.py:1(<module>)
    22555    0.013    0.000    0.051    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.050    0.050 hdf5_format.py:17(<module>)
        1    0.000    0.000    0.050    0.050 models.py:2(<module>)
     1739    0.004    0.000    0.049    0.000 tokenize.py:487(_tokenize)
     2155    0.018    0.000    0.048    0.000 training_utils.py:35(standardize_input_data)
        1    0.000    0.000    0.048    0.048 optimizers.py:513(get_config)
        4    0.000    0.000    0.048    0.012 tensorflow_backend.py:2660(get_value)
        4    0.000    0.000    0.047    0.012 variables.py:1986(eval)
        4    0.000    0.000    0.047    0.012 ops.py:777(eval)
        4    0.000    0.000    0.047    0.012 ops.py:5370(_eval_using_default_session)
     2116    0.009    0.000    0.046    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
       58    0.000    0.000    0.046    0.001 variables.py:2042(assign)
        3    0.000    0.000    0.046    0.015 imp.py:330(load_dynamic)
        3    0.000    0.000    0.046    0.015 <frozen importlib._bootstrap>:686(_load)
        1    0.000    0.000    0.046    0.046 tensorflow_backend.py:216(<listcomp>)
       21    0.000    0.000    0.046    0.002 convolutional.py:155(call)
       63    0.000    0.000    0.045    0.001 tf_should_use.py:197(wrapped)
        1    0.000    0.000    0.043    0.043 training.py:16(<module>)
        1    0.000    0.000    0.043    0.043 pywrap_tensorflow_internal.py:13(swig_import_helper)
    17/16    0.000    0.000    0.042    0.003 <frozen importlib._bootstrap>:634(_load_backward_compatible)
        6    0.000    0.000    0.042    0.007 __init__.py:35(load_module)
        1    0.000    0.000    0.041    0.041 imp.py:219(load_module)
    18264    0.023    0.000    0.041    0.000 inspect.py:2467(__init__)
        1    0.000    0.000    0.041    0.041 lite.py:15(<module>)
       63    0.000    0.000    0.041    0.001 variables.py:3265(is_variable_initialized)
      192    0.001    0.000    0.041    0.000 attrs.py:92(__setitem__)
       63    0.000    0.000    0.041    0.001 state_ops.py:117(is_variable_initialized)
       63    0.000    0.000    0.040    0.001 gen_state_ops.py:266(is_variable_initialized)
     3338    0.002    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
       19    0.001    0.000    0.040    0.002 __init__.py:7(<module>)
     1517    0.001    0.000    0.040    0.000 tokenize.py:147(_compile)
      192    0.021    0.000    0.039    0.000 attrs.py:107(create)
        1    0.000    0.000    0.039    0.039 extensions.py:5(<module>)
    20226    0.035    0.000    0.039    0.000 contextlib.py:81(__init__)
       63    0.000    0.000    0.039    0.001 state_ops.py:55(variable_op_v2)
       63    0.001    0.000    0.039    0.001 gen_state_ops.py:1584(variable_v2)
        1    0.000    0.000    0.039    0.039 image_data_generator.py:2(<module>)
     8836    0.009    0.000    0.039    0.000 tensorflow_backend.py:503(is_tensor)
       90    0.000    0.000    0.038    0.000 tensor_conversion_registry.py:50(_default_conversion_function)
        1    0.000    0.000    0.038    0.038 summary.py:29(<module>)
        1    0.000    0.000    0.038    0.038 math_ops.py:68(<module>)
       89    0.000    0.000    0.038    0.000 constant_op.py:283(_constant_tensor_conversion_function)
        1    0.000    0.000    0.038    0.038 training.py:40(compile)
